id,unidade,curso,ano,modalidade,chamada,nota_linguagens,nota_humanas,nota_natureza,nota_matematica,nota_redacao,nota_final,nota_redacao_c1,nota_redacao_c2,nota_redacao_c3,nota_redacao_c4,nota_redacao_c5,redacao
162,IME,Ciência da Computação,2021,Ampla Concorrência (AC),Primeira,671.4,753.8,718.1,949.3,940,826.07,160,200,180,200,200,https://drive.google.com/open?id=1hm-soLc1DirjYLWlTwLXjz2KvxQ7MPZ8
168,IME,Matemática Aplicada e Computacional (Bach),2020,Ampla Concorrência (AC),Terceira,622,592,598,720,820,645,160,180,160,160,160,https://drive.google.com/open?id=1F6uo6hs_WlQaC9F_dAPswpBkfLvqrFnU
170,IP,Psicologia,2021,Escola Pública (EP),Primeira,702,722,660,794,900,756,160,180,160,200,200,
170,IP,Psicologia,2021,Escola Pública (EP),Primeira,647,762,664,790,920,756,140,200,200,200,180,https://drive.google.com/open?id=1mpZb-YuUqvg9es0oG6QSNfWTVRDuxoEn
170,IP,Psicologia,2021,"Pretos, Pardos e Indígenas (PPI)",Primeira,662,726,631,682,920,724,160,200,180,180,200,https://drive.google.com/open?id=1_CL18m-WQT_f_s4XCfa6EfVytkAaJNBN
170,IP,Psicologia,2021,Escola Pública (EP),Primeira,637.5,709.4,658.7,780.4,960,749.2,160,200,200,200,200,
171,IQ,Química Integral (Bach e Lic),2021,Ampla Concorrência (AC),Primeira,619.2,674.4,701.5,804,980,778.66,180,200,200,200,200,https://drive.google.com/open?id=1aI3B0BfuBnBj8lFzUibTlUyA6RdUO_bR
173,IQSC,Química,2021,Ampla Concorrência (AC),Segunda,668,714,662,688,940,723,,,,,,
174,IRI,Relações Internacionais,2021,"Pretos, Pardos e Indígenas (PPI)",Primeira,635.4,731.5,615,769.2,900,743.02,,,,,,
55,Poli,Engenharia de Computação,2021,Ampla Concorrência (AC),Primeira,643.5,783.6,799.6,949.3,960,827.47,160,200,200,200,200,https://drive.google.com/open?id=1C8bG_DGPZ2W1QzpntdIjWYqjYCfafSAT
56,Poli,Engenharia de Materiais ou Metalúrgica,2021,Ampla Concorrência (AC),Segunda,701.7,683.6,713.9,890.6,940,785.01,,,,,,
60,Poli,Engenharia Elétrica,2021,Escola Pública (EP),Segunda,608.7,669.9,649.4,928,760,743.12,160,120,140,160,180,https://drive.google.com/open?id=1Ro3cYj0X3v3XZKqTAd5X4u8oOEcZgihw
61,Poli,Engenharia Mecânica,2019,Escola Pública (EP),Segunda,728,721,717,811,880,768,180,200,180,180,200,
