id,unidade,curso,ano,modalidade,chamada,nota_linguagens,nota_humanas,nota_natureza,nota_matematica,nota_redacao,nota_final,nota_redacao_c1,nota_redacao_c2,nota_redacao_c3,nota_redacao_c4,nota_redacao_c5,redacao
71,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,644.5,683.5,649.3,885.7,960,795.67,180,200,200,200,180,
71,FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,663.1,688,647.8,764.5,860,745.9,160,200,160,180,160,
71,FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,658.3,660.1,621.7,751.3,980,770.11,180,200,200,200,200,
71,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,653.8,719.4,602.4,922.7,920,795.42,,,,,,
71,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,666.5,784.5,695.3,924.6,900,814.65,180,200,180,200,140,
71,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,632.7,758.7,663.8,824.4,940,791.54,160,200,200,180,200,
71,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,666.4,771.1,657.2,837.9,960,808.8,200,200,160,200,200,
71,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,632.7,758.7,663.8,824.4,940,791.54,160,200,200,180,200,
71,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,645.6,743.7,729.7,876.9,880,790.21,160,200,160,180,180,
71,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,673.6,659.1,686.5,833.4,960,789.87,180,200,180,200,200,
71,FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,592.7,624.7,588.6,794.1,960,749.16,160,200,200,200,200,
71,FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,605.6,609.3,584.9,749.8,940,733.43,,,,,,
71,FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,659.2,634.6,537.7,745.5,900,731.63,160,200,200,160,180,
71,FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,655.4,675.5,645.4,834,960,785.52,160,200,200,200,200,
71,FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,692.6,681.1,636.3,787.3,980,789.83,180,200,200,200,200,
71,FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,654.5,722.8,708.1,841.3,900,784.53,160,200,160,200,180,
71,FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,625.6,704.3,600.3,741,940,756.21,160,200,200,200,180,
71,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,658.5,717,690.4,765.1,940,779.16,160,200,200,180,200,
71,FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,615.9,607.7,612.1,768.6,880,723.65,160,200,180,160,180,
71,FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,656,656.9,574.7,693.3,860,716.71,160,180,160,180,180,
71,FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,624.7,617.4,625.7,750.9,900,731.17,,,,,,
71,FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,598.6,631.5,631.5,692.3,920,723.63,160,200,160,200,200,
71,FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,635.8,693.7,599.3,755.6,920,752.95,160,200,180,180,200,
29,ECA,Audiovisual,2018,"Pretos, Pardos e Indígenas (PPI)",,653.3,744.4,590.6,676.7,800,726.27,160,160,160,160,160,
4,EACH,Biotecnologia,2020,"Pretos, Pardos e Indígenas (PPI)",,621,625,607,724,720,661.142857142857,,,,,,
4,EACH,Biotecnologia,2020,Escola Pública (EP),,601.4,629.1,591.7,746.7,960,695.328571428571,160,200,200,200,200,
168,IME,Ciência da Computação,2020,Ampla Concorrência (AC),,657.4,706.3,696.1,944.5,900,804.68,160,160,180,200,200,
168,IME,Ciência da Computação,2020,Ampla Concorrência (AC),,666.2,686,738,946.8,900,813.48,160,200,180,160,200,
168,IME,Ciência da Computação,2020,Ampla Concorrência (AC),,618.8,602.5,670.6,946.4,980,798.05,180,200,200,200,200,
82,FEA,Ciências Atuariais,2020,Escola Pública (EP),,625.9,641.9,631.3,719.1,640,659.89,,,,,,
82,FEA,Ciências Atuariais,2020,Escola Pública (EP),,622.4,624,609.8,700.3,780,665.37,,,,,,
82,FEA,Ciências Atuariais,2020,Escola Pública (EP),,614.4,623.8,603.3,745.4,720,668.01,,,,,,
82,FEA,Ciências Atuariais,2020,Escola Pública (EP),,635.6,669.4,622.3,778.5,680,690.53,,,,,,
82,FEA,Ciências Atuariais,2020,Escola Pública (EP),,645.6,669.8,605.5,704.8,900,700.04,,,,,,
82,FEA,Ciências Atuariais,2020,Escola Pública (EP),,623.9,632.5,638.3,794.8,820,705.29,,,,,,
98,FFCLRP,Ciências Biológicas,2019,"Pretos, Pardos e Indígenas (PPI)",,712.8,698.2,658.5,780.8,840,742.488888888889,160,200,160,160,160,
98,FFCLRP,Ciências Biológicas,2019,Escola Pública (EP),,649.5,695.3,674.4,755.1,880,734.811111111111,160,180,160,200,180,
98,FFCLRP,Ciências Biológicas,2020,"Pretos, Pardos e Indígenas (PPI)",,637.8,597.6,620,706.2,740,667.288888888889,160,120,140,160,160,
83,FEA,Ciências Contábeis,2020,Escola Pública (EP),,606.6,631,643.7,745.3,620,660.41,,,,,,
83,FEA,Ciências Contábeis,2020,"Pretos, Pardos e Indígenas (PPI)",,630.9,631.7,613.4,765.3,640,668.33,,,,,,
83,FEA,Ciências Contábeis,2020,"Pretos, Pardos e Indígenas (PPI)",,600.5,630,615,717,820,670,,,,,,
83,FEA,Ciências Contábeis,2019,"Pretos, Pardos e Indígenas (PPI)",,613.5,719.2,677.3,753.9,600,691,,,,,,
83,FEA,Ciências Contábeis,2020,Escola Pública (EP),,616.1,654.4,623.7,786.7,820,706,,,,,,
83,FEA,Ciências Contábeis,2020,Escola Pública (EP),,640.5,670.7,629.1,809.4,720,707.11,,,,,,
83,FEA,Ciências Contábeis,2019,Escola Pública (EP),,636.3,680.3,638.8,727.3,920,715,,,,,,
83,FEA,Ciências Contábeis,2020,Escola Pública (EP),,659,718.2,606.2,724.6,880,718.68,,,,,,
83,FEA,Ciências Contábeis,2019,Escola Pública (EP),,623.3,696.5,643.2,772.4,860,723.47,,,,,,
83,FEA,Ciências Contábeis,2019,Escola Pública (EP),,680,690,710,900,660,740,,,,,,
83,FEA,Ciências Contábeis,2019,Escola Pública (EP),,626.9,681.1,632,799.9,960,740.13,,,,,,
83,FEARP,Ciências Contábeis,2020,Escola Pública (EP),,596.9,596.9,563,762.2,960,707.455,200,200,180,180,200,
83,FEARP,Ciências Contábeis,2020,Ampla Concorrência (AC),,624.1,648.5,594.2,830.2,920,737.915,,,,,,
2,EACH,Ciências da Natureza (Lic),2019,Escola Pública (EP),,640.8,697.4,623.1,679.5,820,700.557142857143,160,180,160,160,160,
103,FFLCH,Ciências Sociais,2018,Escola Pública (EP),,679.5,703.1,593.5,701.4,960,764.235,,,,,,
103,FFLCH,Ciências Sociais,2019,Escola Pública (EP),,701.9,747.7,626.1,773.9,680,710,140,160,120,120,140,
103,FFLCH,Ciências Sociais,2020,"Pretos, Pardos e Indígenas (PPI)",,615.6,652.4,481,655.7,860,690.675,160,160,160,200,180,
103,FFLCH,Ciências Sociais,2020,Escola Pública (EP),,600.6,634.9,583.7,725.1,940,727.98,160,200,180,200,200,
24,ECA,Com. Social: Editoração,2020,Ampla Concorrência (AC),,669.6,688,640.9,838.7,980,830.977777777778,180,200,200,200,200,
22,ECA,Com. Social: Publicidade e Propaganda,2019,"Pretos, Pardos e Indígenas (PPI)",,641,668.6,570.9,646.2,920,741.572727272727,,,,,,
22,ECA,Com. Social: Publicidade e Propaganda,2019,Escola Pública (EP),,668.5,675.1,573.7,702.1,920,755.590909090909,160,200,200,200,160,
22,ECA,Com. Social: Publicidade e Propaganda,2019,Escola Pública (EP),,666.9,683.9,611.2,680.7,880,743.672727272727,,,,,,
22,ECA,Com. Social: Publicidade e Propaganda,2020,"Pretos, Pardos e Indígenas (PPI)",,668,601.3,576.5,637.1,940,743.654545454545,160,200,200,180,200,
22,ECA,Com. Social: Publicidade e Propaganda,2020,Escola Pública (EP),,633.2,676.4,573.7,696.4,960,760.227272727273,160,200,200,200,200,
73,FAU,Design,2020,Escola Pública (EP),,620,660.2,583.9,778.2,940,742.75,160,180,200,200,200,
73,FAU,Design,2020,Ampla Concorrência (AC),,653.2,713.8,635.2,770.2,920,748.16,200,200,180,140,200,
73,FAU,Design,2020,Escola Pública (EP),,624.1,682.6,665,803.4,900,758.52,,,,,,
73,FAU,Design,2020,Escola Pública (EP),,635.7,642.9,625.8,778.7,980,768.04,180,200,200,200,200,
73,FAU,Design,2020,"Pretos, Pardos e Indígenas (PPI)",,565.4,640.6,598.2,655.3,880,696.08,160,200,160,200,160,
73,FAU,Desing,2020,Ampla Concorrência (AC),,,,,,,767.01,,,,,,
77,FD,Direito Matutino,2020,"Pretos, Pardos e Indígenas (PPI)",,624.3,656.5,591.1,721.8,980,729,,,,,,
77,FD,Direito Matutino,2020,"Pretos, Pardos e Indígenas (PPI)",,598.6,649,596,740.5,960,719,,,,,,
77,FD,Direito Matutino,2020,Escola Pública (EP),,664.7,728.3,685.5,745.5,960,757.1,,,,,,
77,FD,Direito Matutino,2020,Escola Pública (EP),,668.7,763.8,677.9,758.6,880,757.69,,,,,,
77,FD,Direito Matutino,2020,"Pretos, Pardos e Indígenas (PPI)",,593,626,604,689,940,701,,,,,,
77,FD,Direito Matutino,2020,"Pretos, Pardos e Indígenas (PPI)",,594,633,623.3,778.2,840,691.9,,,,,,
77,FD,Direito Matutino,2020,Escola Pública (EP),,675.8,680.4,619.1,688.9,920,716,,,,,,
78,FD,Direito Noturno,2020,"Pretos, Pardos e Indígenas (PPI)",,665,681,611,754,880,727,,,,,,
78,FD,Direito Noturno,2020,"Pretos, Pardos e Indígenas (PPI)",,633.9,663.6,605.1,729.8,920,721.24,,,,,,
78,FD,Direito Noturno,2020,"Pretos, Pardos e Indígenas (PPI)",,586.8,720.3,600.3,781.1,880,719.45,,,,,,
78,FD,Direito Noturno,2020,Escola Pública (EP),,619,725,656,760,940,748,,,,,,
78,FD,Direito Noturno,2020,Escola Pública (EP),,679.2,663.8,609.8,735.9,940,738.96,,,,,,
78,FD,Direito Noturno,2020,Escola Pública (EP),,669.9,662.8,563.9,747.8,940,735.89,,,,,,
78,FD,Direito Noturno,2020,Escola Pública (EP),,610.9,598.2,692.3,820.6,920,733.15,,,,,,
78,FD,Direito Noturno,2020,"Pretos, Pardos e Indígenas (PPI)",,591,644,537,708,960,704,,,,,,
78,FD,Direito Noturno,2020,Escola Pública (EP),,628.5,663.3,652,745.5,920,727.64,,,,,,
78,FD,Direito Noturno,2020,Escola Pública (EP),,635.4,623.1,540.1,748.9,980,720.75,,,,,,
84,FEA,Economia Diurno,2020,Escola Pública (EP),,631,603,660,835,740,702,,,,,,
84,FEA,Economia Diurno,2020,"Pretos, Pardos e Indígenas (PPI)",,658.4,651.6,608,764.9,940,719,,,,,,
84,FEA,Economia Diurno,2020,"Pretos, Pardos e Indígenas (PPI)",,610,710,660,830,860,725,,,,,,
84,FEA,Economia Diurno,2020,"Pretos, Pardos e Indígenas (PPI)",,601.6,614.3,612.5,743.5,600,647.1,,,,,,
84,FEA,Economia Diurno,2020,Escola Pública (EP),,613.4,665,632.3,705.6,840,691.26,,,,,,
84,FEA,Economia Diurno,2020,Escola Pública (EP),,636.4,703.4,656.3,869.8,740,739.87,,,,,,
84,FEA,Economia Diurno,2020,Escola Pública (EP),,637.8,697.8,624.8,800.1,980,748.34,,,,,,
84,FEA,Economia Diurno,2020,Escola Pública (EP),,625.4,652.4,683.1,837.6,980,752.5,,,,,,
84,FEA,Economia Diurno,2020,Escola Pública (EP),,647.6,744.8,622.3,810.4,900,754.33,,,,,,
84,FEA,Economia Diurno,2020,Escola Pública (EP),,641.1,698.3,610.8,855.3,940,757.01,,,,,,
90,FEARP,Economia Empresarial e Controladoria,2020,Ampla Concorrência (AC),,665.3,714.2,683.7,784.5,960,768.105,160,200,200,200,200,
90,FEARP,Economia Empresarial e Controladoria,2020,Ampla Concorrência (AC),,595,650,630,720,900,704.5,,,,,,
90,FEARP,Economia Empresarial e Controladoria,2020,Ampla Concorrência (AC),,637.6,687,619,874.2,860,751.72,,,,,,
85,FEA,Economia Noturno,2020,Escola Pública (EP),,633.9,626.9,609.7,763.7,720,670.8,,,,,,
85,FEA,Economia Noturno,2020,"Pretos, Pardos e Indígenas (PPI)",,648.6,647.2,620,658,880,678.43,,,,,,
85,FEA,Economia Noturno,2020,"Pretos, Pardos e Indígenas (PPI)",,611.5,646.5,642.6,754,740,685.01,,,,,,
85,FEA,Economia Noturno,2020,"Pretos, Pardos e Indígenas (PPI)",,611.1,678,639.7,766.2,700,691.31,,,,,,
85,FEA,Economia Noturno,2019,"Pretos, Pardos e Indígenas (PPI)",,630,699,613,680,780,693,,,,,,
85,FEA,Economia Noturno,2020,"Pretos, Pardos e Indígenas (PPI)",,604.8,678,616,681.5,920,694,,,,,,
85,FEA,Economia Noturno,2019,"Pretos, Pardos e Indígenas (PPI)",,626.5,677.1,603.7,777.7,820,708.54,,,,,,
85,FEA,Economia Noturno,2019,Escola Pública (EP),,620,650,711,700,960,732,,,,,,
85,FEA,Economia Noturno,2020,Escola Pública (EP),,620,629,637,845,920,733,,,,,,
85,FEA,Economia Noturno,2019,Escola Pública (EP),,609.4,726.6,652.8,825.1,800,737.94,,,,,,
85,FEA,Economia Noturno,2020,Escola Pública (EP),,630,727,622,773,920,739,,,,,,
85,FEA,Economia Noturno,2019,Escola Pública (EP),,722,718,717,760,800,743,,,,,,
85,FEA,Economia Noturno,2019,Escola Pública (EP),,665.2,719.6,728.6,794.8,900,760,,,,,,
85,FEA,Economia Noturno,2020,Escola Pública (EP),,641.3,775.2,673.8,907.6,740,774.39,,,,,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,655.3,703.4,717.1,804.3,700,730.58,,,,,,
48,EESC,Engenharia Aeronáutica,2020,Escola Pública (EP),,660.1,704.8,685.3,827.8,980,815.56,,,,,,
48,EESC,Engenharia Aeronáutica,2020,Escola Pública (EP),,661,727,688,897,920,821.38,,,,,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,,,,,,857.84,,,,,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,,,,,,862.67,,,,,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,,,,,,886.12,,,,,,
65,ESALQ,Engenharia Agronômica,2020,"Pretos, Pardos e Indígenas (PPI)",,574.4,603.6,587.8,799,800,693.95,140,200,160,140,160,
65,ESALQ,Engenharia Agronômica,2020,Ampla Concorrência (AC),,580,620,560,720,960,710,,,,,,
65,ESALQ,Engenharia Agronômica,2020,Ampla Concorrência (AC),,633,631.4,609.7,659.1,960,715.25,180,200,200,200,180,
65,ESALQ,Engenharia Agronômica,2020,Escola Pública (EP),,576.6,581.1,585.3,710,960,708.5375,160,200,200,200,200,
65,ESALQ,Engenharia Agronômica,2020,Escola Pública (EP),,590.1,627.4,608.1,665.8,940,705.6625,160,200,200,180,200,
53,Poli,Engenharia Ambiental,2020,Escola Pública (EP),,686.3,686.2,652,767.8,920,733.14,,,,,,
53,Poli,Engenharia Ambiental,2020,Ampla Concorrência (AC),,648.5,694.7,722.5,896.8,900,773.73,,,,,,
53,Poli,Engenharia Ambiental,2020,Ampla Concorrência (AC),,651.2,747,670.6,850.2,920,760.49,,,,,,
54,EESC,Engenharia Civil,2020,Escola Pública (EP),,,,,,,702.49,,,,,,
54,EESC,Engenharia Civil,2020,"Pretos, Pardos e Indígenas (PPI)",,,,,,,738.56,,,,,,
54,EESC,Engenharia Civil,2020,Escola Pública (EP),,,,,,,743.44,,,,,,
54,EESC,Engenharia Civil,2020,Ampla Concorrência (AC),,,,,,,769.13,,,,,,
54,EESC,Engenharia Civil,2020,Ampla Concorrência (AC),,,,,,,789.44,,,,,,
54,Poli,Engenharia Civil,2020,Escola Pública (EP),,635,687,675,812,940,742.8,,,,,,
54,Poli,Engenharia Civil,2020,Escola Pública (EP),,670,690,731,870,720,745.75,,,,,,
54,Poli,Engenharia Civil,2020,Ampla Concorrência (AC),,620.3,679.5,712.7,905.3,960,774.485,,,,,,
54,Poli,Engenharia Civil,2020,Ampla Concorrência (AC),,642.4,654.2,725.5,930.4,940,781.585,,,,,,
54,Poli,Engenharia Civil,2020,Ampla Concorrência (AC),,619.9,704.7,732.2,914.9,940,782.46,,,,,,
55,Poli,Engenharia de Computação,2020,"Pretos, Pardos e Indígenas (PPI)",,634,655.3,657.6,798.9,600,679.22,,,,,,
55,Poli,Engenharia de Computação,2020,Ampla Concorrência (AC),,618.7,694.2,702.5,893,880,758.745,,,,,,
55,Poli,Engenharia de Computação,2020,Escola Pública (EP),,636.8,679.3,751.9,880.3,920,775.305,,,,,,
55,Poli,Engenharia de Computação,2020,Escola Pública (EP),,640.9,667,729.9,964,940,792.705,,,,,,
55,Poli,Engenharia de Computação,2020,Ampla Concorrência (AC),,635.2,714.6,806.9,913.6,880,796.355,,,,,,
55,Poli,Engenharia de Computação,2020,Ampla Concorrência (AC),,630.4,726.4,778.8,916,960,802.74,,,,,,
36,EEL,Engenharia de Materiais,2020,Escola Pública (EP),,623.5,610.8,554.7,792,730,683.833333333333,,,,,,
56,Poli,Engenharia de Materiais ou Metalúrgica,2020,Ampla Concorrência (AC),,616.9,634.3,769.3,930.5,920,781.475,,,,,,
57,Poli,Engenharia de Minas,2020,Ampla Concorrência (AC),,627.8,694.1,746,811.5,920,757.05,,,,,,
57,Poli,Engenharia de Minas,2020,Ampla Concorrência (AC),,631.9,648.7,742.1,855.2,920,761.01,,,,,,
58,Poli,Engenharia de Petróleo,2020,"Pretos, Pardos e Indígenas (PPI)",,634,652.2,656.9,814.3,840,718.43,,,,,,
58,Poli,Engenharia de Petróleo,2020,Ampla Concorrência (AC),,606.5,692.8,732.2,860.7,960,767.445,,,,,,
58,Poli,Engenharia de Petróleo,2020,Ampla Concorrência (AC),,636.1,727.5,694.2,931.2,880,774.695,,,,,,
47,EESC,Engenharia de Produção,2020,Ampla Concorrência (AC),,614.7,681.8,719.3,909.7,800,752.46,,,,,,
47,EESC,Engenharia de Produção,2020,Escola Pública (EP),,705,689,712,820,960,771.35,,,,,,
47,EESC,Engenharia de Produção,2020,Ampla Concorrência (AC),,599,685.2,651.1,810.9,960,732.08,180,200,200,180,200,
47,EESC,Engenharia de Produção,2020,"Pretos, Pardos e Indígenas (PPI)",,600,640,610,750,720,664,120,180,140,120,160,
47,EESC,Engenharia de Produção,2020,Escola Pública (EP),,619.9,664.3,659.1,773.8,820,704.85,160,180,160,160,160,
59,Poli,Engenharia de Produção,2020,"Pretos, Pardos e Indígenas (PPI)",,638.7,684.8,690.9,847.4,920,753035,,,,,,
59,Poli,Engenharia de Produção,2020,Ampla Concorrência (AC),,683.9,700.6,716,942.7,960,800545,,,,,,
59,Poli,Engenharia de Produção,2020,Escola Pública (EP),,635.2,659.3,654.2,885.9,940,751.96,,,,,,
59,Poli,Engenharia de Produção,2020,Ampla Concorrência (AC),,658.3,769,728.3,889.3,960,795.41,,,,,,
59,Poli,Engenharia de Produção,2020,Ampla Concorrência (AC),,619.8,726.2,747.7,984.7,920,803.99,,,,,,
59,Poli,Engenharia de Produção,2020,Ampla Concorrência (AC),,638.5,764.7,735.5,907.2,960,979.08,,,,,,
60,Poli,Engenharia Elétrica,2020,Escola Pública (EP),,622.8,655.5,669.5,750.8,860,706.96,,,,,,
60,Poli,Engenharia Elétrica,2020,Ampla Concorrência (AC),,651.4,667.5,743.9,844.2,840,753.43,,,,,,
60,Poli,Engenharia Elétrica,2020,Ampla Concorrência (AC),,631.1,697.5,723.4,889.3,840,760.02,,,,,,
60,Poli,Engenharia Elétrica,2020,Ampla Concorrência (AC),,662.2,808.3,702.5,868.7,760,760.485,,,,,,
60,Poli,Engenharia Elétrica,2020,Ampla Concorrência (AC),,647.2,709.5,758.3,891.4,900,783.29,,,,,,
60,Poli,Engenharia Elétrica,2020,Ampla Concorrência (AC),,638,722.9,729.5,907.6,960,789.31,,,,,,
60,Poli,Engenharia Elétrica,2020,Ampla Concorrência (AC),,688,727.2,708.1,920.1,920,791.73,,,,,,
60,Poli,Engenharia Elétrica,2020,Ampla Concorrência (AC),,654.6,678.5,753.2,938.1,980,802.52,,,,,,
66,ESALQ,Engenharia Florestal,2020,Escola Pública (EP),,635,593,650,712,920,724,160,200,160,200,200,
46,EESC,Engenharia Mecânica,2020,Escola Pública (EP),,671.1,676.2,664,934.9,960,779.375,160,200,200,200,200,
46,EESC,Engenharia Mecânica,2020,Ampla Concorrência (AC),,632.7,748.4,672.5,838.7,900,751.6,160,200,200,160,180,
61,Poli,Engenharia Mecânica,2020,Ampla Concorrência (AC),,679,683,744,942,880,792,,,,,,
61,Poli,Engenharia Mecânica,2020,Ampla Concorrência (AC),,654,686,710,838,980,767.7,,,,,,
50,EESC,Engenharia Mecatrônica,2020,"Pretos, Pardos e Indígenas (PPI)",,637.73,670.29,619.28,745.65,680,671.322,120,120,160,120,120,
50,EESC,Engenharia Mecatrônica,2020,Escola Pública (EP),,610.2,644.4,698.4,896.9,920,755.525,160,180,200,180,200,
50,EESC,Engenharia Mecatrônica,2020,Ampla Concorrência (AC),,630,735.9,658.5,777.7,940,736.435,,,,,,
62,Poli,Engenharia Mecatrônica,2020,Escola Pública (EP),,613,722.9,790.5,868.6,840,771.1,,,,,,
62,Poli,Engenharia Mecatrônica,2020,Ampla Concorrência (AC),,652.8,694.7,769.9,944.5,960,807.37,,,,,,
63,Poli,Engenharia Naval,2020,"Pretos, Pardos e Indígenas (PPI)",,710.4,720.1,685.4,858.5,800,756.07,,,,,,
63,Poli,Engenharia Naval,2020,Ampla Concorrência (AC),,625.2,702,738,918.6,860,773.49,,,,,,
63,Poli,Engenharia Naval,2020,Ampla Concorrência (AC),,616.6,683.4,714,961.9,880,776.805,,,,,,
64,Poli,Engenharia Química,2020,Ampla Concorrência (AC),,641,674,707,817,920,748,,,,,,
64,Poli,Engenharia Química,2020,Ampla Concorrência (AC),,631,704,729,876,960,777,,,,,,
64,Poli,Engenharia Química,2020,Ampla Concorrência (AC),,709.5,772.3,718.5,881.8,920,795,,,,,,
64,Poli,Engenharia Química,2020,Ampla Concorrência (AC),,619.6,697,731.9,854.9,900,760.17,,,,,,
74,FCF,Farmácia Bioquímica,2017,Escola Pública (EP),,643.2,670.7,657.5,766.2,820,710.2,160,160,160,180,160,
74,FCF,Farmácia Bioquímica,2019,"Pretos, Pardos e Indígenas (PPI)",,635.5,631.5,559.5,735.4,980,701.18,180,200,200,200,200,
74,FCF,Farmácia Bioquímica,2019,Escola Pública (EP),,599.4,676.8,639.6,785.9,800,696.62,160,160,140,160,180,
74,FCF,Farmácia Bioquímica,2019,Escola Pública (EP),,577.1,655.1,622.8,694.4,860,678.65,180,140,160,180,200,
74,FCF,Farmácia Bioquímica,2020,"Pretos, Pardos e Indígenas (PPI)",,610.5,636.9,600.7,711.8,860,680.36,,,,,,
74,FCF,Farmácia Bioquímica,2020,"Pretos, Pardos e Indígenas (PPI)",,639.2,641.7,665.1,756.1,800,702.76,160,160,160,160,160,
74,FCF,Farmácia Bioquímica,2020,"Pretos, Pardos e Indígenas (PPI)",,608.7,634.5,581.7,635.9,680,622.88,,,,,,
74,FCF,Farmácia Bioquímica,2020,"Pretos, Pardos e Indígenas (PPI)",,594.4,556,614.1,596.1,700,617.93,140,120,180,160,100,
76,FCFRP,Farmácia Bioquímica,2019,Escola Pública (EP),,642.9,687.7,607.6,561.4,980,723.885714285714,,,,,,
105,FFLCH,Filosofia,2020,"Pretos, Pardos e Indígenas (PPI)",,608,675.7,624.9,785.9,780,697.033333333333,160,160,160,140,160,
152,IF,Física (Bach),2019,Escola Pública (EP),,624.6,673.7,648.9,718.8,880,724.2125,160,180,200,180,160,
152,IF,Física (Bach),2020,Escola Pública (EP),,607.9,659.3,685.9,810.2,920,762.425,160,200,200,180,180,
152,IF,Física (Bach),2020,Escola Pública (EP),,595.8,647.9,626.6,703.4,840,697.9625,140,180,160,180,180,
114,FM,Fisioterapia,2020,Escola Pública (EP),,619.9,621.9,604.2,695.6,820,672.32,,,,,,
114,FM,Fisioterapia,2020,"Pretos, Pardos e Indígenas (PPI)",,624.5,620.2,613.8,674.4,840,674.58,,,,,,
114,FM,Fisioterapia,2020,"Pretos, Pardos e Indígenas (PPI)",,595.7,665.2,633.6,762.5,880,707.4,,,,,,
114,FM,Fisioterapia,2020,Escola Pública (EP),,642,690,627,798,880,727.4,,,,,,
114,FM,Fisioterapia,2020,Ampla Concorrência (AC),,631.5,667.9,630.1,771,960,732.1,,,,,,
114,FM,Fisioterapia,2020,Ampla Concorrência (AC),,680,700,670,706,920,735.2,,,,,,
