id,unidade,curso,ano,modalidade,chamada,nota_linguagens,nota_humanas,nota_natureza,nota_matematica,nota_redacao,nota_final,nota_redacao_c1,nota_redacao_c2,nota_redacao_c3,nota_redacao_c4,nota_redacao_c5,redacao
,FEA,Ciências Contábeis,2019,Escola Pública (EP),,636.3,680.3,638.8,727.3,920,715.0,,,,,,
,FEA,Ciências Contábeis,2020,Escola Pública (EP),,659.0,718.2,606.2,724.6,880,718.68,,,,,,
,FEA,Ciências Contábeis,2019,Escola Pública (EP),,623.3,696.5,643.2,772.4,860,723.47,,,,,,
,FEA,Ciências Contábeis,2019,Escola Pública (EP),,680.0,690.0,710.0,900.0,660,740.0,,,,,,
,FEA,Ciências Contábeis,2019,Escola Pública (EP),,626.9,681.1,632.0,799.9,960,740.13,,,,,,
,FEARP,Ciências Contábeis,2020,Escola Pública (EP),,596.9,596.9,563.0,762.2,960,707.455,200,200,180,180,200,
,FEARP,Ciências Contábeis,2020,Ampla Concorrência (AC),,624.1,648.5,594.2,830.2,920,737.915,,,,,,
,EACH,Ciências da Natureza (Lic),2019,Escola Pública (EP),,640.8,697.4,623.1,679.5,820,700.557142857143,160,180,160,160,160,
,FFLCH,Ciências Sociais,2018,Escola Pública (EP),,679.5,703.1,593.5,701.4,960,764.235,,,,,,
,FFLCH,Ciências Sociais,2019,Escola Pública (EP),,701.9,747.7,626.1,773.9,680,710.0,140,160,120,120,140,
,FFLCH,Ciências Sociais,2020,"Pretos, Pardos e Indígenas (PPI)",,615.6,652.4,481.0,655.7,860,690.675,160,160,160,200,180,
,FFLCH,Ciências Sociais,2020,Escola Pública (EP),,600.6,634.9,583.7,725.1,940,727.98,160,200,180,200,200,
,ECA,Com. Social: Editoração,2020,Ampla Concorrência (AC),,669.6,688.0,640.9,838.7,980,830.977777777778,180,200,200,200,200,
,ECA,Com. Social: Publicidade e Propaganda,2019,"Pretos, Pardos e Indígenas (PPI)",,641.0,668.6,570.9,646.2,920,741.572727272727,,,,,,
,ECA,Com. Social: Publicidade e Propaganda,2019,Escola Pública (EP),,668.5,675.1,573.7,702.1,920,755.590909090909,160,200,200,200,160,
,ECA,Com. Social: Publicidade e Propaganda,2019,Escola Pública (EP),,666.9,683.9,611.2,680.7,880,743.672727272727,,,,,,
,ECA,Com. Social: Publicidade e Propaganda,2020,"Pretos, Pardos e Indígenas (PPI)",,668.0,601.3,576.5,637.1,940,743.654545454545,160,200,200,180,200,
,ECA,Com. Social: Publicidade e Propaganda,2020,Escola Pública (EP),,633.2,676.4,573.7,696.4,960,760.227272727273,160,200,200,200,200,
,FAU,Design,2020,Escola Pública (EP),,620.0,660.2,583.9,778.2,940,742.75,160,180,200,200,200,
,FAU,Design,2020,Ampla Concorrência (AC),,653.2,713.8,635.2,770.2,920,748.16,200,200,180,140,200,
,FAU,Design,2020,Escola Pública (EP),,624.1,682.6,665.0,803.4,900,758.52,,,,,,
,FAU,Design,2020,Escola Pública (EP),,635.7,642.9,625.8,778.7,980,768.04,180,200,200,200,200,
,FAU,Design,2020,"Pretos, Pardos e Indígenas (PPI)",,565.4,640.6,598.2,655.3,880,696.08,160,200,160,200,160,
,FAU,Desing,2020,Ampla Concorrência (AC),,,,,,,767.01,,,,,,
,FD,Direito Matutino,2020,"Pretos, Pardos e Indígenas (PPI)",,624.3,656.5,591.1,721.8,980,729.0,,,,,,
,FD,Direito Matutino,2020,"Pretos, Pardos e Indígenas (PPI)",,598.6,649.0,596.0,740.5,960,719.0,,,,,,
,FD,Direito Matutino,2020,Escola Pública (EP),,664.7,728.3,685.5,745.5,960,757.1,,,,,,
,FD,Direito Matutino,2020,Escola Pública (EP),,668.7,763.8,677.9,758.6,880,757.69,,,,,,
,FD,Direito Matutino,2020,"Pretos, Pardos e Indígenas (PPI)",,593.0,626.0,604.0,689.0,940,701.0,,,,,,
,FD,Direito Matutino,2020,"Pretos, Pardos e Indígenas (PPI)",,594.0,633.0,623.3,778.2,840,691.9,,,,,,
,FD,Direito Matutino,2020,Escola Pública (EP),,675.8,680.4,619.1,688.9,920,716.0,,,,,,
,FD,Direito Noturno,2020,"Pretos, Pardos e Indígenas (PPI)",,665.0,681.0,611.0,754.0,880,727.0,,,,,,
,FD,Direito Noturno,2020,"Pretos, Pardos e Indígenas (PPI)",,633.9,663.6,605.1,729.8,920,721.24,,,,,,
,FD,Direito Noturno,2020,"Pretos, Pardos e Indígenas (PPI)",,586.8,720.3,600.3,781.1,880,719.45,,,,,,
,FD,Direito Noturno,2020,Escola Pública (EP),,619.0,725.0,656.0,760.0,940,748.0,,,,,,
,FD,Direito Noturno,2020,Escola Pública (EP),,679.2,663.8,609.8,735.9,940,738.96,,,,,,
,FD,Direito Noturno,2020,Escola Pública (EP),,669.9,662.8,563.9,747.8,940,735.89,,,,,,
,FD,Direito Noturno,2020,Escola Pública (EP),,610.9,598.2,692.3,820.6,920,733.15,,,,,,
,FD,Direito Noturno,2020,"Pretos, Pardos e Indígenas (PPI)",,591.0,644.0,537.0,708.0,960,704.0,,,,,,
,FD,Direito Noturno,2020,Escola Pública (EP),,628.5,663.3,652.0,745.5,920,727.64,,,,,,
,FD,Direito Noturno,2020,Escola Pública (EP),,635.4,623.1,540.1,748.9,980,720.75,,,,,,
,FEA,Economia Diurno,2020,Escola Pública (EP),,631.0,603.0,660.0,835.0,740,702.0,,,,,,
,FEA,Economia Diurno,2020,"Pretos, Pardos e Indígenas (PPI)",,658.4,651.6,608.0,764.9,940,719.0,,,,,,
,FEA,Economia Diurno,2020,"Pretos, Pardos e Indígenas (PPI)",,610.0,710.0,660.0,830.0,860,725.0,,,,,,
,FEA,Economia Diurno,2020,"Pretos, Pardos e Indígenas (PPI)",,601.6,614.3,612.5,743.5,600,647.1,,,,,,
,FEA,Economia Diurno,2020,Escola Pública (EP),,613.4,665.0,632.3,705.6,840,691.26,,,,,,
,FEA,Economia Diurno,2020,Escola Pública (EP),,636.4,703.4,656.3,869.8,740,739.87,,,,,,
,FEA,Economia Diurno,2020,Escola Pública (EP),,637.8,697.8,624.8,800.1,980,748.34,,,,,,
,FEA,Economia Diurno,2020,Escola Pública (EP),,625.4,652.4,683.1,837.6,980,752.5,,,,,,
,FEA,Economia Diurno,2020,Escola Pública (EP),,647.6,744.8,622.3,810.4,900,754.33,,,,,,
,FEA,Economia Diurno,2020,Escola Pública (EP),,641.1,698.3,610.8,855.3,940,757.01,,,,,,
,FEARP,Economia Empresarial e Controladoria,2020,Ampla Concorrência (AC),,665.3,714.2,683.7,784.5,960,768.105,160,200,200,200,200,
,FEARP,Economia Empresarial e Controladoria,2020,Ampla Concorrência (AC),,595.0,650.0,630.0,720.0,900,704.5,,,,,,
,FEARP,Economia Empresarial e Controladoria,2020,Ampla Concorrência (AC),,637.6,687.0,619.0,874.2,860,751.72,,,,,,
,FEA,Economia Noturno,2020,Escola Pública (EP),,633.9,626.9,609.7,763.7,720,670.8,,,,,,
,FEA,Economia Noturno,2020,"Pretos, Pardos e Indígenas (PPI)",,648.6,647.2,620.0,658.0,880,678.43,,,,,,
,FEA,Economia Noturno,2020,"Pretos, Pardos e Indígenas (PPI)",,611.5,646.5,642.6,754.0,740,685.01,,,,,,
,FEA,Economia Noturno,2020,"Pretos, Pardos e Indígenas (PPI)",,611.1,678.0,639.7,766.2,700,691.31,,,,,,
,FEA,Economia Noturno,2019,"Pretos, Pardos e Indígenas (PPI)",,630.0,699.0,613.0,680.0,780,693.0,,,,,,
,FEA,Economia Noturno,2020,"Pretos, Pardos e Indígenas (PPI)",,604.8,678.0,616.0,681.5,920,694.0,,,,,,
,FEA,Economia Noturno,2019,"Pretos, Pardos e Indígenas (PPI)",,626.5,677.1,603.7,777.7,820,708.54,,,,,,
,FEA,Economia Noturno,2019,Escola Pública (EP),,620.0,650.0,711.0,700.0,960,732.0,,,,,,
,FEA,Economia Noturno,2020,Escola Pública (EP),,620.0,629.0,637.0,845.0,920,733.0,,,,,,
,FEA,Economia Noturno,2019,Escola Pública (EP),,609.4,726.6,652.8,825.1,800,737.94,,,,,,
,FEA,Economia Noturno,2020,Escola Pública (EP),,630.0,727.0,622.0,773.0,920,739.0,,,,,,
,FEA,Economia Noturno,2019,Escola Pública (EP),,722.0,718.0,717.0,760.0,800,743.0,,,,,,
,FEA,Economia Noturno,2019,Escola Pública (EP),,665.2,719.6,728.6,794.8,900,760.0,,,,,,
,FEA,Economia Noturno,2020,Escola Pública (EP),,641.3,775.2,673.8,907.6,740,774.39,,,,,,
,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,655.3,703.4,717.1,804.3,700,730.58,,,,,,
,EESC,Engenharia Aeronáutica,2020,Escola Pública (EP),,660.1,704.8,685.3,827.8,980,815.56,,,,,,
,EESC,Engenharia Aeronáutica,2020,Escola Pública (EP),,661.0,727.0,688.0,897.0,920,821.38,,,,,,
,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,,,,,,857.84,,,,,,
,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,,,,,,862.67,,,,,,
,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,,,,,,886.12,,,,,,
,ESALQ,Engenharia Agronômica,2020,"Pretos, Pardos e Indígenas (PPI)",,574.4,603.6,587.8,799.0,800,693.95,140,200,160,140,160,
,ESALQ,Engenharia Agronômica,2020,Ampla Concorrência (AC),,580.0,620.0,560.0,720.0,960,710.0,,,,,,
,ESALQ,Engenharia Agronômica,2020,Ampla Concorrência (AC),,633.0,631.4,609.7,659.1,960,715.25,180,200,200,200,180,
,ESALQ,Engenharia Agronômica,2020,Escola Pública (EP),,576.6,581.1,585.3,710.0,960,708.5375,160,200,200,200,200,
,ESALQ,Engenharia Agronômica,2020,Escola Pública (EP),,590.1,627.4,608.1,665.8,940,705.6625,160,200,200,180,200,
,Poli,Engenharia Ambiental,2020,Escola Pública (EP),,686.3,686.2,652.0,767.8,920,733.14,,,,,,
,Poli,Engenharia Ambiental,2020,Ampla Concorrência (AC),,648.5,694.7,722.5,896.8,900,773.73,,,,,,
,Poli,Engenharia Ambiental,2020,Ampla Concorrência (AC),,651.2,747.0,670.6,850.2,920,760.49,,,,,,
,EESC,Engenharia Civil,2020,Escola Pública (EP),,,,,,,702.49,,,,,,
,EESC,Engenharia Civil,2020,"Pretos, Pardos e Indígenas (PPI)",,,,,,,738.56,,,,,,
,EESC,Engenharia Civil,2020,Escola Pública (EP),,,,,,,743.44,,,,,,
,EESC,Engenharia Civil,2020,Ampla Concorrência (AC),,,,,,,769.13,,,,,,
,EESC,Engenharia Civil,2020,Ampla Concorrência (AC),,,,,,,789.44,,,,,,
,Poli,Engenharia Civil,2020,Escola Pública (EP),,635.0,687.0,675.0,812.0,940,742.8,,,,,,
,Poli,Engenharia Civil,2020,Escola Pública (EP),,670.0,690.0,731.0,870.0,720,745.75,,,,,,
,Poli,Engenharia Civil,2020,Ampla Concorrência (AC),,620.3,679.5,712.7,905.3,960,774.485,,,,,,
,Poli,Engenharia Civil,2020,Ampla Concorrência (AC),,642.4,654.2,725.5,930.4,940,781.585,,,,,,
,Poli,Engenharia Civil,2020,Ampla Concorrência (AC),,619.9,704.7,732.2,914.9,940,782.46,,,,,,
,Poli,Engenharia de Computação,2020,"Pretos, Pardos e Indígenas (PPI)",,634.0,655.3,657.6,798.9,600,679.22,,,,,,
,Poli,Engenharia de Computação,2020,Ampla Concorrência (AC),,618.7,694.2,702.5,893.0,880,758.745,,,,,,
,Poli,Engenharia de Computação,2020,Escola Pública (EP),,636.8,679.3,751.9,880.3,920,775.305,,,,,,
,Poli,Engenharia de Computação,2020,Escola Pública (EP),,640.9,667.0,729.9,964.0,940,792.705,,,,,,
,Poli,Engenharia de Computação,2020,Ampla Concorrência (AC),,635.2,714.6,806.9,913.6,880,796.355,,,,,,
,Poli,Engenharia de Computação,2020,Ampla Concorrência (AC),,630.4,726.4,778.8,916.0,960,802.74,,,,,,
,EEL,Engenharia de Materiais,2020,Escola Pública (EP),,623.5,610.8,554.7,792.0,730,683.833333333333,,,,,,
,Poli,Engenharia de Materiais ou Metalúrgica,2020,Ampla Concorrência (AC),,616.9,634.3,769.3,930.5,920,781.475,,,,,,
,Poli,Engenharia de Minas,2020,Ampla Concorrência (AC),,627.8,694.1,746.0,811.5,920,757.05,,,,,,
,Poli,Engenharia de Minas,2020,Ampla Concorrência (AC),,631.9,648.7,742.1,855.2,920,761.01,,,,,,
,Poli,Engenharia de Petróleo,2020,"Pretos, Pardos e Indígenas (PPI)",,634.0,652.2,656.9,814.3,840,718.43,,,,,,
,Poli,Engenharia de Petróleo,2020,Ampla Concorrência (AC),,606.5,692.8,732.2,860.7,960,767.445,,,,,,
,Poli,Engenharia de Petróleo,2020,Ampla Concorrência (AC),,636.1,727.5,694.2,931.2,880,774.695,,,,,,
,EESC,Engenharia de Produção,2020,Ampla Concorrência (AC),,614.7,681.8,719.3,909.7,800,752.46,,,,,,
,EESC,Engenharia de Produção,2020,Escola Pública (EP),,705.0,689.0,712.0,820.0,960,771.35,,,,,,
,EESC,Engenharia de Produção,2020,Ampla Concorrência (AC),,599.0,685.2,651.1,810.9,960,732.08,180,200,200,180,200,
,EESC,Engenharia de Produção,2020,"Pretos, Pardos e Indígenas (PPI)",,600.0,640.0,610.0,750.0,720,664.0,120,180,140,120,160,
,EESC,Engenharia de Produção,2020,Escola Pública (EP),,619.9,664.3,659.1,773.8,820,704.85,160,180,160,160,160,
,Poli,Engenharia de Produção,2020,"Pretos, Pardos e Indígenas (PPI)",,638.7,684.8,690.9,847.4,920,753035.0,,,,,,
,Poli,Engenharia de Produção,2020,Ampla Concorrência (AC),,683.9,700.6,716.0,942.7,960,800545.0,,,,,,
,Poli,Engenharia de Produção,2020,Escola Pública (EP),,635.2,659.3,654.2,885.9,940,751.96,,,,,,
,Poli,Engenharia de Produção,2020,Ampla Concorrência (AC),,658.3,769.0,728.3,889.3,960,795.41,,,,,,
,Poli,Engenharia de Produção,2020,Ampla Concorrência (AC),,619.8,726.2,747.7,984.7,920,803.99,,,,,,
,Poli,Engenharia de Produção,2020,Ampla Concorrência (AC),,638.5,764.7,735.5,907.2,960,979.08,,,,,,
,Poli,Engenharia Elétrica,2020,Escola Pública (EP),,622.8,655.5,669.5,750.8,860,706.96,,,,,,
,Poli,Engenharia Elétrica,2020,Ampla Concorrência (AC),,651.4,667.5,743.9,844.2,840,753.43,,,,,,
,Poli,Engenharia Elétrica,2020,Ampla Concorrência (AC),,631.1,697.5,723.4,889.3,840,760.02,,,,,,
,Poli,Engenharia Elétrica,2020,Ampla Concorrência (AC),,662.2,808.3,702.5,868.7,760,760.485,,,,,,
,Poli,Engenharia Elétrica,2020,Ampla Concorrência (AC),,647.2,709.5,758.3,891.4,900,783.29,,,,,,
,Poli,Engenharia Elétrica,2020,Ampla Concorrência (AC),,638.0,722.9,729.5,907.6,960,789.31,,,,,,
,Poli,Engenharia Elétrica,2020,Ampla Concorrência (AC),,688.0,727.2,708.1,920.1,920,791.73,,,,,,
,Poli,Engenharia Elétrica,2020,Ampla Concorrência (AC),,654.6,678.5,753.2,938.1,980,802.52,,,,,,
,ESALQ,Engenharia Florestal,2020,Escola Pública (EP),,635.0,593.0,650.0,712.0,920,724.0,160,200,160,200,200,
,EESC,Engenharia Mecânica,2020,Escola Pública (EP),,671.1,676.2,664.0,934.9,960,779.375,160,200,200,200,200,
,EESC,Engenharia Mecânica,2020,Ampla Concorrência (AC),,632.7,748.4,672.5,838.7,900,751.6,160,200,200,160,180,
,Poli,Engenharia Mecânica,2020,Ampla Concorrência (AC),,679.0,683.0,744.0,942.0,880,792.0,,,,,,
,Poli,Engenharia Mecânica,2020,Ampla Concorrência (AC),,654.0,686.0,710.0,838.0,980,767.7,,,,,,
,EESC,Engenharia Mecatrônica,2020,"Pretos, Pardos e Indígenas (PPI)",,637.73,670.29,619.28,745.65,680,671.322,120,120,160,120,120,
,EESC,Engenharia Mecatrônica,2020,Escola Pública (EP),,610.2,644.4,698.4,896.9,920,755.525,160,180,200,180,200,
,EESC,Engenharia Mecatrônica,2020,Ampla Concorrência (AC),,630.0,735.9,658.5,777.7,940,736.435,,,,,,
,Poli,Engenharia Mecatrônica,2020,Escola Pública (EP),,613.0,722.9,790.5,868.6,840,771.1,,,,,,
,Poli,Engenharia Mecatrônica,2020,Ampla Concorrência (AC),,652.8,694.7,769.9,944.5,960,807.37,,,,,,
,Poli,Engenharia Naval,2020,"Pretos, Pardos e Indígenas (PPI)",,710.4,720.1,685.4,858.5,800,756.07,,,,,,
,Poli,Engenharia Naval,2020,Ampla Concorrência (AC),,625.2,702.0,738.0,918.6,860,773.49,,,,,,
,Poli,Engenharia Naval,2020,Ampla Concorrência (AC),,616.6,683.4,714.0,961.9,880,776.805,,,,,,
,Poli,Engenharia Química,2020,Ampla Concorrência (AC),,641.0,674.0,707.0,817.0,920,748.0,,,,,,
,Poli,Engenharia Química,2020,Ampla Concorrência (AC),,631.0,704.0,729.0,876.0,960,777.0,,,,,,
,Poli,Engenharia Química,2020,Ampla Concorrência (AC),,709.5,772.3,718.5,881.8,920,795.0,,,,,,
,Poli,Engenharia Química,2020,Ampla Concorrência (AC),,619.6,697.0,731.9,854.9,900,760.17,,,,,,
,FCF,Farmácia Bioquímica,2017,Escola Pública (EP),,643.2,670.7,657.5,766.2,820,710.2,160,160,160,180,160,
,FCF,Farmácia Bioquímica,2019,"Pretos, Pardos e Indígenas (PPI)",,635.5,631.5,559.5,735.4,980,701.18,180,200,200,200,200,
,FCF,Farmácia Bioquímica,2019,Escola Pública (EP),,599.4,676.8,639.6,785.9,800,696.62,160,160,140,160,180,
,FCF,Farmácia Bioquímica,2019,Escola Pública (EP),,577.1,655.1,622.8,694.4,860,678.65,180,140,160,180,200,
,FCF,Farmácia Bioquímica,2020,"Pretos, Pardos e Indígenas (PPI)",,610.5,636.9,600.7,711.8,860,680.36,,,,,,
,FCF,Farmácia Bioquímica,2020,"Pretos, Pardos e Indígenas (PPI)",,639.2,641.7,665.1,756.1,800,702.76,160,160,160,160,160,
,FCF,Farmácia Bioquímica,2020,"Pretos, Pardos e Indígenas (PPI)",,608.7,634.5,581.7,635.9,680,622.88,,,,,,
,FCF,Farmácia Bioquímica,2020,"Pretos, Pardos e Indígenas (PPI)",,594.4,556.0,614.1,596.1,700,617.93,140,120,180,160,100,
,FCFRP,Farmácia Bioquímica,2019,Escola Pública (EP),,642.9,687.7,607.6,561.4,980,723.885714285714,,,,,,
,FFLCH,Filosofia,2020,"Pretos, Pardos e Indígenas (PPI)",,608.0,675.7,624.9,785.9,780,697.033333333333,160,160,160,140,160,
,IF,Física (Bach),2019,Escola Pública (EP),,624.6,673.7,648.9,718.8,880,724.2125,160,180,200,180,160,
,IF,Física (Bach),2020,Escola Pública (EP),,607.9,659.3,685.9,810.2,920,762.425,160,200,200,180,180,
,IF,Física (Bach),2020,Escola Pública (EP),,595.8,647.9,626.6,703.4,840,697.9625,140,180,160,180,180,
,FM,Fisioterapia,2020,Escola Pública (EP),,619.9,621.9,604.2,695.6,820,672.32,,,,,,
