unidade,curso,ano,modalidade,chamada,nota_1,nota_2_1,nota_2_2,nota_final,nota_redacao,classificacao_carreira,classificacao_curso,redacao
FEA,Administração Noturno,2019,Ampla Concorrência (AC),,64,65.0,52.5,628.7,36.0,146,,
FEA,Administração Noturno,2020,Ampla Concorrência (AC),,68,64.5,50.0,633.52,34.5,94,,
FEA,Administração Noturno,2020,Ampla Concorrência (AC),,69,70.5,58.33,685.5,38.0,21,,
FEA,Administração Noturno,2019,Ampla Concorrência (AC),,70,72.0,60.0,699.26,35.0,29,,
FEA,Administração Noturno,2019,Ampla Concorrência (AC),,72,79.5,56.67,720.56,41.0,16,,
FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,57,52.0,46.67,540.0,28.0,2,,
FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,53,61.5,44.17,548.5296296,30.0,27,,
FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,57,58.5,48.33,567.2111111,36.5,22,,
FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,53,65.5,48.33,575.7296296,35.0,18,,
FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,61,63.0,45.0,585.9259258999999,36.5,13,,
FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,57,64.0,53.33,602.2111111,39.0,9,,
FAU,Arquitetura e Urbanismo,0,Escola Pública (EP),,54,64.0,64.0,626.6666667000001,36.6,16,,
FAU,Arquitetura e Urbanismo,2019,Ampla Concorrência (AC),,68,73.0,44.0,641.8518518999999,39.0,68,,
FAU,Arquitetura e Urbanismo,0,Ampla Concorrência (AC),,52,86.5,51.67,653.1592592999999,45.0,63,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,64,74.5,54.17,665.937037,40.0,65,,
FAU,Arquitetura e Urbanismo,0,Ampla Concorrência (AC),,64,77.0,51.67,665.937037,40.0,50,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,72,64.0,56.67,668.9,30.0,64,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,67,64.0,62.5,669.8148147999999,36.0,62,,
FAU,Arquitetura e Urbanismo,0,Ampla Concorrência (AC),,61,79.0,54.17,669.8259259,45.0,49,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,63,68.0,64.17,673.9,38.0,58,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,64,79.5,53.33,679.8037037,50.0,47,,
FAU,Arquitetura e Urbanismo,0,Ampla Concorrência (AC),,69,75.5,52.5,682.2222222,38.0,29,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,66,63.5,68.33,683.8777778,34.5,41,,
FAU,Arquitetura e Urbanismo,0,Ampla Concorrência (AC),,58,77.5,63.33,684.2481481000001,41.0,40,,
FAU,Arquitetura e Urbanismo,2019,Ampla Concorrência (AC),,69,80.0,49.0,685.5555555999999,46.5,26,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,68,74.5,56.67,689.0851852000001,43.5,35,,
FAU,Arquitetura e Urbanismo,0,Ampla Concorrência (AC),,76,69.25,54.17,692.8814815000001,33.0,27,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,67,74.5,59.17,693.7148147999999,41.5,31,,
FAU,Arquitetura e Urbanismo,2019,Ampla Concorrência (AC),,61,81.5,59.17,694.8259259,39.5,20,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,72,69.0,69.33,707.78,34.5,17,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,75,76.2,63.3,742.78,40.7,8,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,90,62.0,63.33,751.1,36.5,0,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,71,80.0,69.2,760.19,43.1,3,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,79,78.5,70.8,790.37,46.5,1,,
FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,48,40.1,40.1,495.44,35.0,6,,
FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,50,58.0,58.0,500.74,31.5,4,,
FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,53,60.2,50.0,563.52,34.7,24,,
FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,53,65.0,49.2,576.85,35.0,17,,
FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,54,64.0,64.0,577.22,36.5,16,,
FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,65,59.0,43.3,581.85,30.0,1,,
FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,56,68.5,45.0,585.74,41.5,14,,
FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,58,67.0,45.8,590.93,34.5,12,,
FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,65,58.5,49.2,599.63,30.0,11,,
FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,55,68.5,50.8,601.48,43.0,10,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,63,65.5,62.5,660.0,35.5,71,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,66,65.5,59.2,660.0,41.5,72,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,58,69.5,64.2,660.37,36.5,70,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,67,61.5,62.5,661.48,28.0,69,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,62,70.0,60.8,665.74,43.0,66,,
FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,60,71.5,61.7,666.11,38.0,3,,
FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,53,77.5,64.2,668.52,41.5,2,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,69,69.0,56.7,674.44,36.5,56,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,69,64.0,61.7,674.44,33.0,57,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,71,58.0,65.8,675.74,35.0,54,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,61,69.5,65.8,677.4,38.5,52,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,62,69.0,65.8,679.07,42.0,50,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,67,78.5,52.5,684.81,48.0,38,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,62,65.0,71.7,685.19,33.0,37,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,69,63.5,67.5,692.22,31.5,33,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,63,78.5,60.0,695.0,45.0,30,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,74,67.0,60.0,697.41,38.0,28,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,65,74.5,63.3,700.19,46.0,27,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,62,80.5,60.8,700.74,40.0,25,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,70,67.0,65.8,702.04,38.0,23,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,77,63.5,62.5,705.19,37.0,20,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,76,65.0,68.33,725.93,36.5,12,,
FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,74,71.5,64.2,726.3,36.5,1,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,70,79.0,61.7,728.15,41.5,11,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,75,66.5,74.17,746.67,36.0,7,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,71,84.0,61.7,748.52,46.5,6,,
FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,73,83.0,72.5,755.37,47.0,5,,
ECA,Artes Cênicas,2020,Ampla Concorrência (AC),,51,75.0,65.0,655.5555555999999,40.0,15,,
ECA,Artes Visuais,2020,"Pretos, Pardos e Indígenas (PPI)",,45,43.0,32.5,418.3333333,28.0,4,,
ECA,Artes Visuais,2019,Ampla Concorrência (AC),,51,57.0,39.0,508.8888888999999,28.5,7,,
ECA,Audiovisual,2019,Escola Pública (EP),,53,86.5,48.33,645.7296296,48.0,3,,
ECA,Audiovisual,2017,Ampla Concorrência (AC),,57,62.75,68.75,649.4444444000001,31.5,27,,
ECA,Audiovisual,2020,Ampla Concorrência (AC),,69,71.5,63.33,704.9888889,40.0,8,,
EACH,Biotecnologia,0,Escola Pública (EP),,51,51.88,31.25,465.9888889,30.0,32,,
EACH,Biotecnologia,2020,Escola Pública (EP),,52,68.0,34.0,532.5925926,43.0,7,,
EACH,Biotecnologia,2020,Escola Pública (EP),,60,55.0,41.67,544.4555556,31.5,5,,
EACH,Biotecnologia,0,Ampla Concorrência (AC),,57,59.5,49.17,573.3444444,32.0,27,,
EACH,Biotecnologia,2020,Ampla Concorrência (AC),,64,68.0,41.67,602.6037037000001,36.0,20,,
EACH,Biotecnologia,0,Ampla Concorrência (AC),,65,68.0,44.17,614.6407407,36.0,17,,
EACH,Biotecnologia,2020,Ampla Concorrência (AC),,60,62.5,68.33,658.3222222,36.0,11,,
EACH,Biotecnologia,2020,Ampla Concorrência (AC),,72,61.5,64.17,685.5666667,36.5,8,,
EACH,Biotecnologia,0,Ampla Concorrência (AC),,78,56.5,77.5,735.5555555999999,33.0,1,,
IME,Ciência da Computação,2020,Escola Pública (EP),,66,46.5,45.83,552.2111111,30.0,39,,
IME,Ciência da Computação,2020,Escola Pública (EP),,69,60.0,45.0,605.5555555999999,34.0,15,,
IME,Ciência da Computação,2019,Escola Pública (EP),,58,80.5,40.0,616.4814815000001,50.0,16,,
IME,Ciência da Computação,2018,Ampla Concorrência (AC),,67,65.25,45.83,618.4148147999999,33.0,51,,
IME,Ciência da Computação,2019,Escola Pública (EP),,62,65.17,51.67,619.0962963,36.67,14,,
IME,Ciência da Computação,2019,Escola Pública (EP),,61,70.5,50.83,630.3592593,41.0,11,,
IME,Ciência da Computação,2020,Escola Pública (EP),,59,66.5,68.33,667.9518519,41.0,11,,
IME,Ciência da Computação,2020,Ampla Concorrência (AC),,78,69.0,45.83,671.6555556,43.5,33,,
IME,Ciência da Computação,2020,Escola Pública (EP),,68,74.0,52.5,673.5185184999999,44.5,10,,
IME,Ciência da Computação,2018,Ampla Concorrência (AC),,66,76.25,54.17,679.1777778,40.0,24,,
IME,Ciência da Computação,2020,Ampla Concorrência (AC),,74,57.5,64.17,679.6407407,36.5,30,,
IME,Ciência da Computação,2020,Escola Pública (EP),,72,51.0,73.33,681.1,30.0,8,,
IME,Ciência da Computação,2020,Ampla Concorrência (AC),,78,52.0,68.33,689.9888889,31.5,23,,
IME,Ciência da Computação,2020,Escola Pública (EP),,71,51.0,80.0,699.6296296,31.5,4,,
IME,Ciência da Computação,2020,Ampla Concorrência (AC),,73,60.5,75.0,722.037037,29.0,14,,
IME,Ciência da Computação,2020,Escola Pública (EP),,77,59.83,76.67,740.1851852000001,29.33,1,,
IME,Ciência da Computação,2019,Ampla Concorrência (AC),,75,68.5,73.33,750.5444444,31.5,11,,
IME,Ciência da Computação,2020,Ampla Concorrência (AC),,80,71.0,75.83,785.7296296,47.0,4,,
IME,Ciência da Computação,2020,Ampla Concorrência (AC),,76,68.0,85.0,791.4814815000001,33.0,3,,
IME,Ciência da Computação,2020,Ampla Concorrência (AC),,80,84.5,77.5,836.2962963,44.5,1,,
IME,Ciência da Computação,2017,Ampla Concorrência (AC),,57,68.0,0.0,0.0,35.0,83,,
IME,Ciência da Computação,2018,Escola Pública (EP),,78,66.75,0.0,0.0,33.0,32,,
IME,Ciência da Computação,2018,Ampla Concorrência (AC),,66,83.88,0.0,0.0,44.5,30,,
IME,Ciência da Computação,2019,Ampla Concorrência (AC),,64,66.5,0.0,0.0,34.5,27,,
FEA,Ciências Atuariais,2020,"Pretos, Pardos e Indígenas (PPI)",,59,36.5,29.17,437.41,0.0,16,,
FEA,Ciências Atuariais,2020,"Pretos, Pardos e Indígenas (PPI)",,46,48.5,31.67,437.59,28.0,15,,
FEA,Ciências Atuariais,2020,Ampla Concorrência (AC),,55,61.0,37.5,532.04,35.0,142,,
FEA,Ciências Atuariais,2020,Ampla Concorrência (AC),,58,49.0,46.67,533.7,30.0,137,,
FEA,Ciências Atuariais,2020,Escola Pública (EP),,65,50.0,44.17,554.63,33.0,10,,
FEA,Ciências Atuariais,2020,Ampla Concorrência (AC),,55,64.5,40.83,554.81,36.0,109,,
FEA,Ciências Atuariais,2020,Ampla Concorrência (AC),,59,61.5,42.5,565.19,34.5,93,,
FEA,Ciências Atuariais,2020,Ampla Concorrência (AC),,61,62.0,40.83,568.7,33.0,89,,
FEA,Ciências Atuariais,2020,Ampla Concorrência (AC),,54,71.5,44.17,585.86,41.0,70,,
FEA,Ciências Atuariais,2020,Ampla Concorrência (AC),,54,68.5,49.17,592.22,0.0,62,,
FEA,Ciências Atuariais,2020,Ampla Concorrência (AC),,66,58.5,45.83,592.22,31.5,63,,
FEA,Ciências Atuariais,2020,Ampla Concorrência (AC),,60,68.5,43.33,595.0,35.0,57,,
FEA,Ciências Atuariais,2020,Ampla Concorrência (AC),,66,57.5,49.17,600.0,26.5,54,,
FEA,Ciências Atuariais,2020,Ampla Concorrência (AC),,62,59.0,53.33,604.07,36.5,50,,
FEA,Ciências Atuariais,2020,Ampla Concorrência (AC),,67,64.0,52.5,636.48,38.0,25,,
FEA,Ciências Atuariais,2020,Ampla Concorrência (AC),,69,58.0,57.5,640.56,33.0,23,,
FEA,Ciências Atuariais,2020,Escola Pública (EP),,66,74.0,63.33,702.22,36.5,1,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,66,52.5,61.67,625.0,28.5,49,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,78,72.0,70.83,765.0,34.5,2,,
IB,Ciências Biológicas,2020,"Pretos, Pardos e Indígenas (PPI)",,40,42.5,33.33,400.93,25.0,19,,
IB,Ciências Biológicas,2020,Escola Pública (EP),,56,49.5,33.33,483.52,27.5,16,,
IB,Ciências Biológicas,2020,"Pretos, Pardos e Indígenas (PPI)",,53,53.5,33.33,485.74,33.5,6,,
IB,Ciências Biológicas,2020,"Pretos, Pardos e Indígenas (PPI)",,52,64.0,32.5,514.26,39.5,4,,
IB,Ciências Biológicas,2020,"Pretos, Pardos e Indígenas (PPI)",,66,46.5,35.0,516.11,25.0,3,,
IB,Ciências Biológicas,2020,Escola Pública (EP),,50,63.17,41.67,534.63,32.67,9,,
IB,Ciências Biológicas,2020,"Pretos, Pardos e Indígenas (PPI)",,51,68.0,38.33,543.33,40.0,2,,
IB,Ciências Biológicas,2020,Escola Pública (EP),,53,59.0,49.17,556.85,32.0,5,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,61,59.0,50.0,589.26,33.0,83,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,59,64.0,50.0,598.52,38.0,67,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,59,76.5,39.17,604.07,44.5,60,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,63,64.5,47.5,606.67,38.5,56,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,60,71.5,44.17,607.78,45.0,57,,
IB,Ciências Biológicas,2020,Escola Pública (EP),,64,55.0,56.67,609.26,29.5,3,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,59,56.5,61.67,612.47,30.0,56,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,62,59.5,56.67,616.85,36.5,52,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,63,66.5,53.33,632.78,35.0,43,,
IB,Ciências Biológicas,2020,Escola Pública (EP),,66,60.0,56.67,633.33,33.0,1,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,57,66.5,66.5,638.33,39.0,40,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,65,58.0,62.5,642.41,32.5,36,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,68,69.0,48.33,642.96,36.5,34,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,63,65.5,58.33,646.11,33.0,31,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,74,54.5,57.5,647.41,26.5,29,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,59,65.5,67.5,661.85,36.5,22,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,68,64.5,59.17,664.07,33.5,21,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,72,59.5,59.5,673.33,35.0,19,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,70,70.0,59.17,689.81,36.5,13,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,73,74.0,58.33,711.48,43.5,9,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,72,78.0,60.0,726.67,38.0,6,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,73,70.0,67.5,728.7,43.5,4,,
IB,Ciências Biológicas,2020,Ampla Concorrência (AC),,80,78.0,77.5,814.63,43.0,1,,
ESALQ,Ciências Biológicas,2020,Ampla Concorrência (AC),,67,68.0,55.0,658.1481481000001,33.0,1,,
FFCLRP,Ciências Biológicas,2020,Escola Pública (EP),,55,57.5,35.0,512.037037,36.0,9,,
FFCLRP,Ciências Biológicas,2020,Ampla Concorrência (AC),,50,58.5,42.5,521.8518518999999,36.0,31,,
FFCLRP,Ciências Biológicas,2020,Ampla Concorrência (AC),,55,57.0,41.67,532.6037037,34.5,24,,
FFCLRP,Ciências Biológicas,2020,Ampla Concorrência (AC),,59,53.0,41.67,534.0851852,31.0,22,,
FFCLRP,Ciências Biológicas,2020,Escola Pública (EP),,57,54.0,45.0,541.1111111,26.5,5,,
FFCLRP,Ciências Biológicas,2020,Ampla Concorrência (AC),,58,51.5,50.8,555.8148147999999,25.5,18,,
FFCLRP,Ciências Biológicas,2020,Ampla Concorrência (AC),,62,51.5,50.0,567.962963,35.0,15,,
FFCLRP,Ciências Biológicas,2020,Escola Pública (EP),,53,65.5,46.67,570.1962963,38.5,4,,
FFCLRP,Ciências Biológicas,2020,Escola Pública (EP),,55,55.0,58.33,581.4703704,31.5,3,,
FFCLRP,Ciências Biológicas,2020,Ampla Concorrência (AC),,54,77.0,50.83,626.1,28.0,23,,
FFCLRP,Ciências Biológicas,2016,Ampla Concorrência (AC),,63,75.0,50.0,650.0,46.0,6,,
FFCLRP,Ciências Biológicas,2020,Ampla Concorrência (AC),,76,64.0,70.83,730.9148147999999,36.5,1,,
ICB,Ciências Biomédicas,2019,Ampla Concorrência (AC),,55,65.0,62.5,628.7037037,37.0,24,,
ICB,Ciências Biomédicas,2015,Ampla Concorrência (AC),,64,63.0,55.0,630.3703704,37.0,15,,
ICB,Ciências Biomédicas,2020,Ampla Concorrência (AC),,62,78.5,60.0,691.2962963,38.5,9,,
FEA,Ciências Contábeis,2020,Escola Pública (EP),,49,36.5,33.33,414.26,26.0,90,,
FEA,Ciências Contábeis,2020,"Pretos, Pardos e Indígenas (PPI)",,61,48.0,28.33,480.37,30.0,13,,
FEA,Ciências Contábeis,2020,"Pretos, Pardos e Indígenas (PPI)",,48,65.5,27.5,484.07,40.0,12,,
